speaker_id	file_name	gender	sentence	environment	duration
1	thai0001.wav	female	มี Doctor อุดมวโรตม์ศิครินทร์และดรนิตยากาญจนวรรณเป็นประธานโครงการ	clean	5.33
1	thai0002.wav	female	จากรูปที่ 1 จะเห็นว่าประกอบด้วยบล็อกต่างๆ 11 Block คือ	clean	5.5
1	thai0003.wav	female	เพื่อเป็นการทบทวนความเข้าใจของทุกฝ่ายที่เกี่ยวข้องทั้งภาครัฐบาลและเอกชนว่าศูนย์เทคโนโลยีอิเล็กทรอนิกส์และคอมพิวเตอร์แห่งชาติมีความเป็นมาอย่างไร	clean	7.0
1	thai0004.wav	female	และสามารถเลือกพิมพ์กราฟที่ต้องการออกทางเครื่องพิมพ์ได้	clean	5.15
1	thai0005.wav	female	เครื่องรับวิทยุสื่อสารคมนาคมผ่าน uhf นับวันจะมีบทบาทมากขึ้น	clean	8.69
1	thai0006.wav	female	นอกจากบทเรียนทั้งภาคทฤษฎีและภาคปฏิบัติที่กล่าวในข้อ 3.1 และ 3.2 แล้ว	clean	17.73
1	thai0007.wav	female	ส่วนหนึ่งเพราะเกรงว่าจะประสบปัญหาขาดแคลนบุคลากรที่มีความรู้ความสามารถ	clean	5.87
1	thai0008.wav	female	และเก็บบันทึกเสียงพูดลงในแผ่นวงจรหน่วยความจำ	clean	7.01
1	thai0009.wav	female	ฉะนั้นหนอนกอก็เป็นแมลงศัตรูข้าวชนิดหนึ่งที่ทำให้ผลิตผลข้าวลดต่ำลง	clean	5.08
1	thai0010.wav	female	สัตว์ปีกที่มีการเลี้ยงกันในแง่การค้าคือ	clean	5.51
1	thai0011.wav	female	ประกอบด้วยจันทันกันสาดแปลกลอน	clean	6.31
1	thai0012.wav	female	ซึ่งใช้ส่วนต่างๆของร่างกายหรือเมล็ดพืชที่เป็นที่รู้จักคุ้นเคยมาเป็นตัวเทียบขนาด	clean	5.97
1	thai0013.wav	female	กระบวนการผลิตแผ่นวงจรพิมพ์แบบ 2 หน้า To Home ประกอบด้วยขั้นตอนการชุบเคลือบดังแผนภาพแสดงภาพตัดขวางของรูเจาะ	clean	5.35
1	thai0014.wav	female	เพื่อใช้ถ่ายทอดข้อมูลดิจิตอลหรือสัญญาณเสียงซึ่งอยู่ในรูปของสัญญาณ pcm	clean	5.87
1	thai0015.wav	female	เพื่อแปลงให้เป็นข้อความสำหรับนำไปใช้ในระบบ	clean	5.98
1	thai0016.wav	female	โดยไม่ต้องการให้ผู้ชายต้องเสียค่าใช้จ่ายในการจัดซื้อฮาร์ดแวร์เพิ่มเติมแต่อย่างใด	clean	7.61
1	thai0017.wav	female	จำพวกสัตว์น้ำเช่นปลาช่อนดีหางเกล็ดปลาไหลหางหัวปลาหมึกกระดองหรือลิ้นทะเลปูม้ากล้ามกระดองและอื่นๆ	clean	11.24
1	thai0018.wav	female	เมื่อเปรียบเทียบกับอัตราถ่ายทอดข้อมูลของเครื่องคอมพิวเตอร์	clean	6.34
1	thai0019.wav	female	พระราชทานให้ใช้เป็นหลักวิชาการและเทคนิคในการปฏิบัติการฝนหลวงในพุทธศักราช 2516 เป็นต้นมาจนตราบเท่าทุกวันนี้	clean	7.74
