client_id	path	sentence_id	sentence	sentence_domain	up_votes	down_votes	age	gender	accents	variant	locale	segment
7674f069ee9b80449edca686ff12066bae1b191d61464fca38d382ac857f43320fa3a237631326ad36678395ddcc12bf41ffa5dbead93af981bfd1292f5ce1fd	common_voice_th_23646668.mp3	03f0239e22ea714c93b2a5156c9f93f5ce3c8b8a8c508a9f3d6df34cddbd25ce	เสื้อพิมพ์ลายลดราคาพิเศษวันนี้วันเดียวเท่านั้น ของหมดอดซื้อนะจ๊ะ		1	2	twenties	male_masculine			th	
7674f069ee9b80449edca686ff12066bae1b191d61464fca38d382ac857f43320fa3a237631326ad36678395ddcc12bf41ffa5dbead93af981bfd1292f5ce1fd	common_voice_th_23646688.mp3	005e0c5728c21d90f23103503edbc8a59632525edcb59b72a7a550e16845f2c2	ปีที่เดือนกุมภาพันธ์มี 29 วันเรียกว่าปีอธิกสุรทิน		0	2	twenties	male_masculine			th	
7674f069ee9b80449edca686ff12066bae1b191d61464fca38d382ac857f43320fa3a237631326ad36678395ddcc12bf41ffa5dbead93af981bfd1292f5ce1fd	common_voice_th_23646695.mp3	0f420c4dda992f51cf2ce718f3deced5401c7f6ab2bdf72b268c94336a37d357	หน้าจอจางลงเป็นสีดำ		1	2	twenties	male_masculine			th	
7674f069ee9b80449edca686ff12066bae1b191d61464fca38d382ac857f43320fa3a237631326ad36678395ddcc12bf41ffa5dbead93af981bfd1292f5ce1fd	common_voice_th_23646711.mp3	0129b28e833a14ece68a418ecb532cbec395fab493c19d8f87c04944e47d0b7d	ฉันนึกไม่ออกเลยว่ารูปสี่มิติหน้าตาเป็นยังไง		1	2	twenties	male_masculine			th	
7674f069ee9b80449edca686ff12066bae1b191d61464fca38d382ac857f43320fa3a237631326ad36678395ddcc12bf41ffa5dbead93af981bfd1292f5ce1fd	common_voice_th_23646805.mp3	022c38675ac22f291067af747a48f9ed86f3a33991976dd45e893a1f2fffdbc6	ในความเห็นของคุณ ผลผลิตจะเป็นอะไร		1	2	twenties	male_masculine			th	
7674f069ee9b80449edca686ff12066bae1b191d61464fca38d382ac857f43320fa3a237631326ad36678395ddcc12bf41ffa5dbead93af981bfd1292f5ce1fd	common_voice_th_23646854.mp3	09936b655aab971b4a9dfa1817bf7de0bce84b386a98a0ff1ba33e5ea1f995c8	พวกเขาก็ถูกปล่อยทิ้งไว้อย่างไม่ระมัดระวัง		1	2	twenties	male_masculine			th	
7674f069ee9b80449edca686ff12066bae1b191d61464fca38d382ac857f43320fa3a237631326ad36678395ddcc12bf41ffa5dbead93af981bfd1292f5ce1fd	common_voice_th_23650493.mp3	100f3677ad5e204fbcbc9f950a08b59dabfdcdc58f6914a6068eb4e066e5cf87	คุณอายุเท่าไหร่?		1	2	twenties	male_masculine			th	
7674f069ee9b80449edca686ff12066bae1b191d61464fca38d382ac857f43320fa3a237631326ad36678395ddcc12bf41ffa5dbead93af981bfd1292f5ce1fd	common_voice_th_23650506.mp3	04f8b9b0551cd71b290c6910a6216e1916093a90239d20bb358dfc8c31234a37	พยายามให้ความสนใจหน่อย		0	2	twenties	male_masculine			th	
7674f069ee9b80449edca686ff12066bae1b191d61464fca38d382ac857f43320fa3a237631326ad36678395ddcc12bf41ffa5dbead93af981bfd1292f5ce1fd	common_voice_th_23650539.mp3	14f060856df1d62f47f19904c4849b03a6b85a0a290be7bee750b970413fe0ab	เธอเหมือนจะออกจากฝันกลางวันแล้ว		1	2	twenties	male_masculine			th	
7674f069ee9b80449edca686ff12066bae1b191d61464fca38d382ac857f43320fa3a237631326ad36678395ddcc12bf41ffa5dbead93af981bfd1292f5ce1fd	common_voice_th_23650613.mp3	0daf6cbe3b43ef38cb64e3c1086da140cb64064273c9b1b48ab5069da402993c	ร้อยโท พาพวกเขาไปข้างหน้า		1	2	twenties	male_masculine			th	
