sentence_id	sentence	locale	reason
118c0cc4e5efc13bcc62c3539b3408acc940c50682e5027e02a70b1702a4a01e	เมื่อมีการมอบอิสรภาพให้ประเทศต่างๆ หลังสองครามโลกครั้งที่ 2 ทำให้โรฮิงญาถูกขับไล่จากบังคลาเทศ	th	grammar-or-spelling
0799cb16894bde8d98a656e43032364f0e61af6b3287c624489dc9b81084c6bd	ฉันเป็นหนี้บุณคุณของคุณ ขอบคุณ	th	grammar-or-spelling
0e9a901b5db7e59d6b40df4b4d3a93119f108c177a11f3168d51f0b911448860	เด็กผุ้ชายดุก้อนกรวดข้างสระน้ำ	th	grammar-or-spelling
0af0f37ca43d0bb22e48c2a3d7128a42d40ec450e8eeaa66ed0c8ba71311c48b	ด้านขวาของเขาในผนังกั้นประตูเปิดออก	th	grammar-or-spelling
118c0cc4e5efc13bcc62c3539b3408acc940c50682e5027e02a70b1702a4a01e	เมื่อมีการมอบอิสรภาพให้ประเทศต่างๆ หลังสองครามโลกครั้งที่ 2 ทำให้โรฮิงญาถูกขับไล่จากบังคลาเทศ	th	grammar-or-spelling
0777ec6edaeb66a1f7ce7203377462eb426853702cefa1679d49e9c249d879be	ฉันไม่ได้โต้แย่งคดีที่เป็นสมมติฐานของคุณ	th	grammar-or-spelling
0b9e7ddd7b12ea152d3022f7ec288f8d35f16c9e4f52b05a91b342a0c3d56afd	คนดีไม่ต้องกลัวโดยตรวจสอบ	th	grammar-or-spelling
1288a67c21ea4adda33b6838d2a64a5cb483775e71cd480901e8c934987cb9a4	ท่ามกลางฝูงชน ที่นั่น พวกเขาถูกแยกออกจากัน	th	grammar-or-spelling
095d4f6d81237fd134e139a0e1cb1952f693d636dabc833dd4ee2b48c37b2843	เมื่อริคาร์โด้ยกตัวเองขึ้นพร้อมกับผมที่กวนหนังศีรษะ	th	grammar-or-spelling
145cbfbd75d662ecc8ee03b3ff28b2866470fd591d2a37e3df2f16fee1ed67cb	นี่คืออะไร? 'เขาพูดในที่สุด	th	grammar-or-spelling
0eab05a166fc4bc2a5ff6ea5b5de015d71f5513f251183f5ae230a95e649e7fd	อ้อนวอนมันไม่ใช่การแสดงความเคารพ, พระมหากษัตริย์กล่าวไว้	th	grammar-or-spelling
120a5d0350c71c32c144fc69a676ba994fa7facbe88792fd0af3be2c700007cc	ในยุคหลังน้ำส้ม?	th	grammar-or-spelling
